"","RNA_203","RNA_271","RNA_280","RNA_294","RNA_302","RNA_72"
"B intermediate",43,85,51,11,385,77
"B memory",17,4,6,6,16,11
"B naive",44,19,2,2,136,25
"CD14 Mono",16,1450,2289,1049,390,638
"CD16 Mono",98,535,452,192,261,246
"CD4 Naive",9,1,0,0,1,0
"CD4 Proliferating",0,1,1,2,1,0
"CD4 TCM",1057,729,697,335,826,580
"CD4 TEM",2,11,1,2,3,1
"CD8 Naive",91,19,6,5,71,23
"CD8 TCM",143,182,118,142,192,235
"CD8 TEM",335,302,273,532,411,1214
"cDC1",0,12,7,3,4,2
"cDC2",1,115,37,13,24,5
"dnT",61,70,234,103,412,269
"gdT",2,22,2,115,18,14
"HSPC",3,41,69,27,109,76
"ILC",2,2,4,6,9,7
"MAIT",19,83,26,80,76,30
"NK",149,1457,34,739,473,1098
"NK Proliferating",2,45,9,15,14,51
"NK_CD56bright",8,29,7,37,73,37
"pDC",5,44,16,33,18,12
"Plasmablast",15,6,4,4,11,7
"Treg",9,44,51,48,33,23
